ID,Start time,Completion time,Email,Name,Last modified time,How effective do you think our current numeracy initiatives have been in improving student outcomes?,"Which numeracy initiative(s) have had the greatest impact in your opinion?
(Select all that apply)",What are the main barriers preventing students from improving their numeracy skills?,Are there specific groups of students who require additional numeracy support?,How confident do you feel in supporting numeracy within your subject area?,What additional training or resources would help you feel more confident in supporting numeracy?,Have you used the IXL platform in your teaching?,"Do you think cross-curricular numeracy (e.g., graphs, percentages, and measurements in various subjects) is being implemented effectively?",Please Explain,What initiatives or actions could help reduce numeracy anxiety among students?,Do you have any additional feedback or suggestions for improving numeracy in our school?,How effective do you think our current literacy initiatives have been in improving student outcomes?,"Which literacy initiative(s) have had the greatest impact in your opinion?
(Select all that apply)",What are the main barriers preventing students from improving their literacy skills?,Do you feel supported in incorporating literacy strategies into your subject area?,How confident do you feel in using EAL strategies for students with English as an additional language?,What additional training or resources would help you support students’ literacy development?,How effective do you think IXL has been for supporting literacy?,Which of these do you use in the classroom to promote Literacy ,What initiatives could help further improve literacy among students with EAL needs?,Do you have any additional suggestions or feedback for improving literacy in our school?,How effective do you think our current attendance initiatives have been in reducing absenteeism?,"Which current initiative(s) do you think have had the greatest impact on improving attendance?
(Select all that apply)",What barriers do you feel are preventing students from improving their attendance?,Are there specific days or times where you notice significant patterns of absenteeism or tardiness?,"If yes, what patterns have you observed in student attendance?
",How can we better support teachers in monitoring and improving student attendance?,Which of the following do you integrate into your lessons ,Is there any Ideas that you have in or out of the classroom that could help improve attendance 
11,12/17/24 9:41:48,12/17/24 9:46:06,anonymous,,,Somewhat effective,XL Programme;,Fear. Anxiety. Drive. ,Senior Cycle Students;,Somewhat Confident,Not sure. ,"No, but I plan to use it",Yes,,Not sure. ,No. ,Somewhat effective,DEAR (Drop Everything and Read);,Not sure. ,Somewhat supported,Neutral,Not sure. ,Somewhat Effective,Oral Literacy in your Classroom;IXL to be encouraged in classroom activities and deputy classes;,Not sure. ,No. ,Neither effective nor ineffective,"Breakfast Club;Check and Connect Programme;Whole-School Attendance Rewards (e.g., Tayto Park);",Not sure. ,Yes (Please specify in the next question),Morning period. ,Not sure. ,•   Universal Design for Learning;Keywords;,No
12,12/17/24 9:31:00,12/17/24 9:46:50,anonymous,,,,XL Programme;Life Skills Curriculum for Senior Students;,Consistency ,LCA Students;Junior Cycle Students;Students in the lowest percentile range (<25%);Senior Cycle Students;,Neutral,Is there cpd available to non maths teachers?,Occasionally,No (Please explain),I don’t know what happens in other classrooms to be able to answer this question. For my subject I might get help for graphs from the maths teacher of a specific group but that’s all.,I’m not sure ,Not at this time,Somewhat effective,Paired Reading;Plurilingual Library/SORA App;,Patience,"Yes, fully supported",Somewhat confident,Updates on students levels of literacy like Cathy used to do. ,Neutral,Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);Keywords in Diary;IXL to be encouraged in classroom activities and deputy classes;,Book clubs maybe, It at this time,Somewhat ineffective,Breakfast Club;,"Home suppose, free classes, lack of motivation ",Yes (Please specify in the next question),After lunch students drop off. Significantly so in LCA. First class seems to be missed a lot as students sometimes only aim to be in for tutor time. It is unclear if it is because they are too tired in the morning/lack of buses or possibly either a dislike or fear of a certain subject in the morning.,Not everyone follows the same rules as a staff we need to be on the same page in terms of recording lates.,"Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;Success Criteria;•   Written and Oral Feedback;",Home school liaison visits?
13,12/17/24 9:42:56,12/17/24 9:53:38,anonymous,,,Very effective,Numeracy in Attendance (Fractions and Bar Charts in Diaries);Life Skills Curriculum for Senior Students;Junior Achievement Initiatives;,Immediate access to information and calculators via phones perhaps,Students in the lowest percentile range (<25%);,Somewhat Confident,I'm not sure but I would be open to working on this ,"No, but I plan to use it",Yes,,Familiarity and practice,None that come to mind currently ,Somewhat effective,Paired Reading;Accelerated Reader;,Restrictive usage in home environment ,Somewhat supported,Somewhat confident,I would be open to exploring this,Somewhat Effective,Oral Literacy in your Classroom;EAL strategies to be used to whole class;,I'm not sure about this. Maybe associating keywords with their native language words on posters in classroom.,None that come to mind currently. ,Somewhat effective,Breakfast Club;Attendance Certificates at Assemblies;Check and Connect Programme;,Challenges in cultural contexts and home environment perhaps.,Yes (Please specify in the next question),Students miss the first few classes consistently ,I'm not sure,"Wellbeing in your classroom;Keywords;•   Learning Intentions, ;Success Criteria;Physical Movement in the classroom;Reflections;",I'm not sure
14,12/17/24 6:20:28,12/17/24 9:54:50,anonymous,,,Somewhat effective,Maths Week;Graph Week (Cross-Curricular Graph Activities);Numeracy in Attendance (Fractions and Bar Charts in Diaries);,Time to spend with students one to one and supporting students to make the effort to learn and improve ,Students in the lowest percentile range (<25%);,Very Confident,Happy to hear suggestions ,"No, but I plan to use it",Yes,,Basic numeracy becomes the norm in other subjects every week - albeit at a minor level. ,"More displays around the school working out Maths principles, using these as resources for movement breaks with a specific challenge related to each poster. Famous/successful mathematicians from the past and modern world and what they have achieved through presentations or displays. ",Somewhat effective,DEAR (Drop Everything and Read);Paired Reading;,"One to one support. Reliance on devices. Strong base in literacy skills not present and then expected in English class to engage with advanced texts. Consistent and maintained practice in reading, writing and listening may not be happening as it should.","Yes, fully supported",Extremely confident,Happy to hear suggestions ,I have not used it,Keywords in Diary;Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Establishing a firm base from the start with drilling combined into UDL activities. Targeting students in every class with specific literacy tasks. Obtaining feedback continuously. ,Will think about it...first thoughts: more displays focused on literacy with tasks and information about how important it is. To be used as interactive tools for teaching if possible and regularly changed.,Somewhat effective,"Check and Connect Programme;Whole-School Attendance Rewards (e.g., Tayto Park);",Culture of non attendance developing in selected classes. Other unexplored or unknown reasons. ,Yes (Please specify in the next question),"Morning, after lunch, fridays. ",Management focusing on this with individuals as much as is possible. ,"Active teaching methodologies;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Success Criteria;Physical Movement in the classroom;",Will think about it
15,12/17/24 9:32:05,12/17/24 9:59:49,anonymous,,,Somewhat effective,XL Programme;,Home. More taining/support for parents. ,Students in the lowest percentile range (<25%);,Somewhat Confident,I think more peer support and the sharing of resources would help. ,"No, but I plan to use it",No (Please explain),As in I don't know if it's being implemented correctly across the curriculum. ,Maths Labs dedicated to improving numeracy for the lowest percetile students ,A specific joint collaborative numeracy project across all subjetcs would be a good idea in supporting numeracy for all teachers. ,Somewhat effective,Paired Reading;Poetry Aloud;Spelling Bee;Plurilingual Library/SORA App;IXL Literacy Programme;,Lack of reading aloud,Somewhat supported,Neutral,Don't know. ,Somewhat Effective,Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Literacy corners for those with the lowest percentile. ,No,Somewhat effective,"Whole-School Attendance Rewards (e.g., Tayto Park);Breakfast Club;",Free classes ,Yes (Please specify in the next question),Morning classes and Wednesdays,don't know. ,"Active teaching methodologies;Keywords;•   Learning Intentions, ;Wellbeing in your classroom;Success Criteria;•   Written and Oral Feedback;Physical Movement in the classroom;•   Effective Questioning and Wait Time;",Strong parent communication. Student voice. Involve the low attenders in discussion circles as to what can help 
16,12/17/24 11:01:59,12/17/24 11:06:06,anonymous,,,Somewhat effective,Maths Week;,Students have little interest,Students in the lowest percentile range (<25%);,Very Confident,None,"No, and I don’t plan to use it",Yes,,More numbers around the school?,None,Somewhat effective,DEAR (Drop Everything and Read);,Students not interested,Somewhat supported,Extremely not confident,None,I have not used it,Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);,None,None,Very ineffective,Breakfast Club;,Students are allowed to be late in a sense. Nothing is said to them by the majority of year heads. Some year heads don't follow up on lates. ,No,,SOME year heads stepping up more. ,Active teaching methodologies;,"Any students who come late in the morning, I ask them to wait outside for a minute. I step outside and talk to them about being late and how they have missed the introduction to the lesson. "
17,12/17/24 11:52:26,12/17/24 12:08:13,anonymous,,,Somewhat ineffective,No improvement ;,"Attendance
Students using phones and EarPods in class
Misuse of iPads, students have iPads on desks watching Netflix, YouTube, playing games
Inconsistency of teachers with starting and managing lessons 
",All students;Students in the lowest percentile range (<25%);LCA Students;Junior Cycle Students;Senior Cycle Students;,Neutral,Not relevant ,"No, and I don’t plan to use it",No (Please explain),Only seeing numeracy in maths,"Teachers being consistent in teaching 
More team teaching needed ",More team teaching,Somewhat effective,Not seeing it this year;,"Attendance 
Students not interested 
",Neutral,Neutral,Not applicable ,Ineffective,Keywords in Diary;,Not applicable ,"Attendance and punctuality a huge issue
Behaviour in classes ",Very ineffective,"Attendance Certificates at Assemblies;Whole-School Attendance Rewards (e.g., Tayto Park);","Parents 
Students seem to be able to come and go as they want
Detention not enough of a deterrent ",No,,Vsware needs to be taken properly ,Physical Movement in the classroom;,None
18,12/17/24 13:46:50,12/17/24 13:56:51,anonymous,,,Somewhat effective,Numeracy in Attendance (Fractions and Bar Charts in Diaries);,"Attendance, poor attitiude to maths",Students in the lowest percentile range (<25%);,Very Confident,IT help!!!!,"No, but I plan to use it",No (Please explain),I am not sure if it is being done.. so hard to say yes!!!,"Repetition of skills, building slowly (where possible), constant praise, calculator skills",no,Neither effective nor ineffective,Plurilingual Library/SORA App;,Like numeracy .. attendance is a factor.  English as a second language,Neutral,Somewhat confident,Subject specific resources (time for subject departments to work on them),I have not used it,EAL strategies to be used to whole class;,Not sure ,No,Somewhat effective,"Breakfast Club;Check and Connect Programme;Whole-School Attendance Rewards (e.g., Tayto Park);",Pressures from home,Yes (Please specify in the next question),Mornings and end of term,"Like everything, time... which we dont really have anymore!!!","Wellbeing in your classroom;Active teaching methodologies;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Physical Movement in the classroom;",No
19,12/17/24 14:29:45,12/17/24 14:43:58,anonymous,,,Neither effective nor ineffective,XL Programme;,foundation skills,Students in the lowest percentile range (<25%);,Somewhat Confident, ,"Yes, regularly",Yes,,increasing skill level,keep going with IXL,Somewhat effective,IXL Literacy Programme;Plurilingual Library/SORA App;,Language barriers and lack of foundational skills,Somewhat supported,Somewhat confident,Paragraph formation and sentence structuring,Very Effective,Keywords in Diary;Oral Literacy in your Classroom;IXL to be encouraged in classroom activities and deputy classes;,IXL programme works well,Get rid of ipads,Neither effective nor ineffective,Breakfast Club;Attendance Certificates at Assemblies;Targeted JCSP Activities;,Lack of home support,Yes (Please specify in the next question),Students normally attend when they have school activities on. They should be scheduled within the school timetable.,Follow through with detention for late attenders,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Success Criteria;Physical Movement in the classroom;Reflections;",Reduce stress by giving students realistic goals
20,12/17/24 19:01:49,12/17/24 19:08:01,anonymous,,,Somewhat ineffective,Junior Achievement Initiatives;Life Skills Curriculum for Senior Students;,"Missing classes , not doing homework ",Junior Cycle Students;LCA Students;,Very Confident,Catch up classes ,"Yes, regularly",Yes,,Repetitive ,Digital videos and resources ,Very effective,DEAR (Drop Everything and Read);Paired Reading;Poetry Aloud;Spelling Bee;Accelerated Reader;,Not reading books ,"Yes, fully supported",Extremely confident,apps ,Very Effective,Keywords in Diary;Oral Literacy in your Classroom;,Words of the week ,"spelling bee , drop everything and read",Somewhat effective,Breakfast Club;Attendance Certificates at Assemblies;Check and Connect Programme;Targeted JCSP Activities;,Up half the night on phones ,Yes (Please specify in the next question),"Friday afternoon , 1st period ",I would say it’s parents that need the support ,Wellbeing in your classroom;Active teaching methodologies;Keywords;•   Universal Design for Learning;•   Effective Questioning and Wait Time;Reflections;,Yes 
